;Mixture;Count
544;benzene__methyl tert-butyl ether;11
545;1,4-dioxane__water;10
546;1-hexanol__dodecane;10
547;2-propanol__ethane;10
548;1-propanol__dodecane;10
549;ethanol__ethylene glycol;10
550;1-pentanol__2-ethyl-1-hexanol;10
551;dodecane__1-nonanol;10
552;phenol__1-octanol;10
553;2-ethyl-1-hexanol__2,3-butanediol;10
554;1-pentanol__dodecane;10
555;1-heptanol__dodecane;10
556;1-octanol__dodecane;10
557;butan-2-ol__ethyl tert-pentyl ether;9
558;(RS)-2-butanol__water;9
559;isooctane__methyl tert-butyl ether;9
560;2-methyl-2-butanol__ethyl tert-pentyl ether;9
561;2-ethyl-1-hexanol__butane, 1,4-dihydroxy-;9
562;cyclohexane__1-octanol;9
563;1-butanol__ethyl tert-pentyl ether;9
564;ethane__pentane;9
565;1,2-ethanediol__3-oxa-1,5-pentanediol;8
566;1-decanol__dodecane;8
567;isopropyl ether__isooctane;8
568;ethylene glycol__bis(2-hydroxyethyl) ether;8
569;3-oxa-1,5-pentanediol__3,6-dioxa-1,8-octanediol;8
570;1,2-ethanediol__3,6-dioxa-1,8-octanediol;8
571;2-propanol__anthracene;6
572;methanol__anthracene;6
573;methane__butane;6
574;D-(-)-mannitol__water;6
575;ethanol__anthracene;6
576;propan-1-ol__anthracene;6
577;phenanthrene__heptane;5
578;1,1':2',1''-terphenyl__cyclohexane;5
579;methanol__2-methoxyethanol;5
580;m-terphenyl__heptane;5
581;1,1'-biphenyl__heptane;5
582;1,1':2',1''-terphenyl__heptane;5
583;bis(2-hydroxyethyl) ether__3,6-dioxa-1,8-octanediol;5
584;naphthalene__cyclohexane;5
585;m-terphenyl__cyclohexane;5
586;ethylene glycol__3,6-dioxa-1,8-octanediol;5
587;naphthalene__heptane;5
588;phenanthrene__cyclohexane;5
589;1,1'-biphenyl__cyclohexane;5
590;methane__ethane;4
591;methanol__ethane;3
592;1-propanol__phenanthrene;1
593;methanol__phenanthrene;1
594;1-butanol__phenanthrene;1
595;ethanol__phenanthrene;1
596;glycidol__water;1
